date	VIX	rf	SP500	eurusd	FINANC	SPDIV
1999-01-31	26.25	0.361666667	1248.77		237.56	16.28333333
1999-02-28	27.88	0.37	1246.58	-2.930822038	240.45	16.36666667
1999-03-31	23.26	0.37	1281.66	-2.42089038	249.18	16.45
1999-04-30	25.07	0.3575	1334.76	-1.784055008	265.72	16.45
1999-05-31	25.39	0.375	1332.07	-1.419110691	250.69	16.45
1999-06-30	21.09	0.380833333	1322.55	-0.6621881	260.65	16.45
1999-07-31	24.64	0.379166667	1380.99	3.487585741	244.1	16.51333333
1999-08-31	24.45	0.393333333	1327.49	-1.362957431	232.62	16.57666667
1999-09-30	25.41	0.39	1318.17	1.116789703	219.94	16.64
1999-10-31	22.2	0.405	1300.01	-1.263571696	255.77	16.65666667
1999-11-30	24.18	0.4225	1391	-4.322684615	243.29	16.67333333
1999-12-31	24.64	0.433333333	1428.68	-0.307143565	238.03	16.69
2000-01-31	24.95	0.443333333	1425.59	-3.528125621	229.99	16.71333333
2000-02-29	23.37	0.4625	1388.87	-0.669619862	205	16.73666667
2000-03-31	24.11	0.474166667	1442.21	-0.902302427	242.19	16.76
2000-04-30	26.2	0.471666667	1461.36	-4.563055992	234.32	16.74
2000-05-31	23.65	0.4825	1418.48	2.862155938	249.65	16.72
2000-06-30	19.54	0.474166667	1461.96	1.545842217	234.52	16.7
2000-07-31	20.74	0.496666667	1473	-2.719160105	258.32	16.58333333
2000-08-31	16.84	0.5075	1485.46	-4.187351608	282.25	16.46666667
2000-09-30	20.57	0.5	1468.05	-0.563189908	288.87	16.35
2000-10-31	23.63	0.509166667	1390.14	-3.840054372	287.65	16.32333333
2000-11-30	29.65	0.514166667	1378.04	2.827188126	270.52	16.29666667
2000-12-31	26.85	0.480833333	1330.93	7.996334059	294.39	16.27
2001-01-31	22.02	0.429166667	1335.63	-0.647077543	293.13	16.17
2001-02-28	28.35	0.406666667	1305.75	-1.387999146	273.44	16.07
2001-03-31	28.64	0.368333333	1185.85	-5.077955825	264.96	15.97
2001-04-30	25.48	0.3225	1189.84	1.41439489	274.43	15.87666667
2001-05-31	22.64	0.301666667	1270.37	-4.926329997	284.93	15.78333333
2001-06-30	19.06	0.290833333	1238.71	0.437714421	284.59	15.69
2001-07-31	21.62	0.2925	1204.45	3.227326266	279.6	15.70666667
2001-08-31	24.92	0.28	1178.5	4.096303058	262.15	15.72333333
2001-09-30	31.93	0.22	1044.64	-0.098651759	246.32	15.74
2001-10-31	33.56	0.18	1076.59	-1.195962256	241.35	15.74
2001-11-30	23.84	0.155833333	1129.68	-0.45530261	258.17	15.74
2001-12-31	23.8	0.140833333	1144.93	-0.769745649	263.38	15.74
2002-01-31	21.09	0.1375	1140.21	-3.383923553	258.7	15.73666667
2002-02-28	21.59	0.143333333	1100.67	1.163602513	254.54	15.73333333
2002-03-31	17.4	0.149166667	1153.79	0.264550265	271.24	15.73
2002-04-30	21.91	0.1425	1111.93	3.303888953	263.59	15.83333333
2002-05-31	19.98	0.144166667	1079.25	3.742365353	262.71	15.93666667
2002-06-30	25.4	0.141666667	1014.02	6.133590238	249.75	16.04
2002-07-31	32.03	0.14	903.59	-1.401916288	229.54	15.96
